metascore,userscore,genre
75,65,role-playing
80,80,strategy
81,83,action
73,67,racing
69,64,sports
65,62,platform
63,47,adventure
71,71,adventure
85,79,misc
71,72,role-playing
69,71,strategy
68,68,racing
89,79,strategy
88,71,platform
87,76,shooter
76,48,fighting
87,71,shooter
73,69,puzzle
78,73,racing
85,70,platform
81,61,strategy
73,51,shooter
71,51,strategy
71,40,sports
81,28,platform
78,26,shooter
73,21,fighting
77,74,adventure
77,77,puzzle
85,74,racing
65,66,simulation
77,74,strategy
78,70,misc
66,71,shooter
75,87,adventure
86,88,adventure
90,82,puzzle
84,81,misc
90,87,adventure
91,89,racing
92,84,racing
68,61,fighting
71,75,sports
84,84,sports
75,74,strategy
53,49,action
75,79,sports
63,58,fighting
70,70,racing
70,71,platform
43,60,platform
71,57,adventure
70,82,role-playing
66,67,platform
62,72,sports
62,57,sports
49,63,fighting
60,64,action
60,56,shooter
52,46,misc
72,78,platform
62,44,shooter
72,63,simulation
71,52,simulation
59,57,racing
68,77,action
94,86,puzzle
70,77,action
80,85,fighting
84,87,fighting
84,84,misc
80,69,strategy
51,64,simulation
65,65,sports
53,38,puzzle
74,64,misc
85,81,adventure
84,81,sports
83,72,action
53,52,misc
73,70,racing
86,89,shooter
60,56,platform
57,29,action
54,54,action
72,70,strategy
68,74,misc
66,70,puzzle
68,71,fighting
74,74,shooter
75,75,misc
58,62,strategy
78,70,action
71,65,shooter
70,69,platform
68,45,role-playing
75,75,simulation
58,62,fighting
78,76,misc
76,74,sports
84,77,puzzle
85,83,shooter
80,76,fighting
85,76,platform
83,75,simulation
79,78,puzzle
76,65,sports
66,82,strategy
75,74,action
83,70,racing
79,78,platform
79,65,shooter
62,50,role-playing
68,28,platform
42,53,fighting
72,75,puzzle
53,50,sports
76,61,simulation
72,71,strategy
70,83,action
65,74,platform
92,89,platform
87,90,shooter
69,62,adventure
82,86,shooter
77,73,shooter
80,79,racing
49,60,misc
66,69,sports
73,62,strategy
70,54,shooter
74,45,adventure
55,59,platform
77,79,sports
75,73,action
75,76,shooter
74,55,racing
43,38,action
76,65,adventure
73,81,misc
89,82,misc
64,77,shooter
72,76,strategy
80,74,strategy
82,74,puzzle
75,61,strategy
82,79,sports
80,78,role-playing
75,63,shooter
82,83,misc
71,71,platform
56,68,misc
53,58,misc
80,79,puzzle
80,80,shooter
69,78,racing
85,85,sports
81,83,adventure
45,44,adventure
62,64,shooter
60,57,puzzle
60,54,racing
65,70,adventure
62,68,simulation
54,70,shooter
58,65,racing
66,67,racing
77,65,puzzle
78,37,strategy
78,54,fighting
71,73,simulation
70,76,shooter
83,80,sports
68,66,strategy
76,69,strategy
81,73,sports
82,77,shooter
73,63,shooter
74,73,shooter
77,70,role-playing
72,73,misc
69,80,misc
72,76,shooter
90,85,simulation
81,79,strategy
67,59,simulation
80,78,platform
45,58,puzzle
44,44,platform
50,70,simulation
75,75,racing
51,52,simulation
82,73,racing
76,69,strategy
75,69,platform
72,53,shooter
82,65,racing
79,67,strategy
80,53,role-playing
75,52,adventure
46,60,action
67,66,role-playing
56,44,misc
48,43,adventure
72,50,simulation
71,69,role-playing
70,72,sports
62,66,strategy
83,77,strategy
67,74,simulation
64,60,puzzle
67,70,role-playing
66,59,fighting
63,72,strategy
83,57,puzzle
81,55,action
78,46,action
75,66,misc
72,67,fighting
75,58,platform
71,64,racing
85,41,fighting
83,41,sports
83,31,fighting
33,49,misc
81,69,racing
74,44,role-playing
81,45,misc
81,48,strategy
73,30,misc
74,54,simulation
74,38,sports
78,60,puzzle
78,43,racing
78,38,sports
68,21,strategy
70,58,racing
65,41,sports
78,36,action
77,38,role-playing
73,35,fighting
76,17,shooter
83,69,strategy
80,40,strategy
79,43,puzzle
73,34,strategy
71,28,role-playing
73,17,strategy
79,82,simulation
44,71,fighting
80,77,puzzle
72,74,action
78,69,strategy
76,70,platform
49,57,fighting
49,59,shooter
78,81,strategy
76,78,adventure
71,42,sports
81,86,platform
82,80,misc
79,76,sports
80,80,fighting
83,77,misc
63,69,fighting
52,72,fighting
51,59,sports
54,43,racing
49,40,strategy
58,64,racing
60,56,misc
72,59,misc
59,70,fighting
59,53,action
83,74,platform
76,75,action
53,73,fighting
83,78,action
79,74,platform
73,77,sports
77,78,adventure
74,58,strategy
72,38,adventure
74,69,racing
72,72,simulation
58,77,adventure
81,74,puzzle
79,77,sports
74,75,simulation
74,73,misc
80,80,platform
57,51,action
75,78,adventure
88,79,misc
52,56,fighting
58,61,role-playing
94,66,misc
92,83,sports
91,66,action
88,77,shooter
71,60,platform
67,71,action
78,83,platform
85,81,misc
76,78,simulation
76,72,puzzle
73,76,action
76,79,simulation
59,77,racing
64,68,platform
72,59,role-playing
79,77,role-playing
49,75,puzzle
59,68,action
73,66,shooter
84,85,fighting
83,79,sports
82,76,adventure
82,80,adventure
77,81,misc
84,86,racing
81,59,shooter
73,72,racing
85,48,misc
76,29,fighting
75,17,misc
62,64,sports
79,78,shooter
51,43,puzzle
71,78,simulation
65,66,shooter
75,77,strategy
74,64,strategy
74,56,fighting
69,63,action
64,69,fighting
64,68,fighting
77,88,adventure
44,32,fighting
40,61,shooter
81,60,platform
72,73,misc
47,17,simulation
85,89,platform
79,77,role-playing
80,62,strategy
67,73,misc
81,74,action
72,66,misc
81,61,role-playing
70,69,fighting
67,78,action
66,64,racing
69,39,adventure
67,58,action
66,58,platform
73,61,puzzle
67,68,fighting
69,74,strategy
63,63,adventure
58,35,shooter
74,73,misc
75,70,racing
72,77,strategy
76,73,fighting
69,43,sports
74,62,racing
47,38,puzzle
69,68,role-playing
66,73,puzzle
69,78,adventure
67,74,sports
66,68,platform
86,80,fighting
46,37,adventure
36,41,action
72,68,misc
72,75,fighting
77,75,simulation
70,70,action
71,77,role-playing
74,85,role-playing
62,63,fighting
89,78,puzzle
66,70,simulation
80,21,puzzle
81,62,strategy
80,62,adventure
80,69,strategy
68,64,fighting
68,55,shooter
64,57,platform
71,70,shooter
65,20,shooter
62,72,adventure
62,76,adventure
66,75,shooter
51,52,action
71,64,adventure
66,76,simulation
62,63,strategy
62,76,shooter
59,64,puzzle
72,55,fighting
60,70,puzzle
56,50,puzzle
58,70,sports
49,13,action
77,78,platform
71,72,misc
60,74,misc
44,72,platform
77,68,role-playing
76,73,action
78,74,adventure
73,70,misc
63,54,strategy
74,66,action
68,75,action
67,66,simulation
83,75,adventure
60,43,sports
55,29,sports
65,76,role-playing
80,85,racing
79,69,role-playing
78,83,puzzle
76,81,misc
78,78,racing
86,83,action
76,78,racing
71,65,misc
75,68,shooter
67,82,puzzle
55,68,strategy
55,65,platform
76,79,racing
64,62,fighting
69,68,adventure
61,62,action
49,13,shooter
74,73,adventure
59,69,shooter
86,81,racing
75,71,adventure
70,64,adventure
67,70,adventure
82,88,racing
77,76,puzzle
88,87,puzzle
63,65,shooter
71,74,adventure
87,77,fighting
85,67,simulation
86,75,simulation
76,66,racing
37,63,fighting
55,65,sports
63,71,fighting
74,80,platform
71,73,shooter
88,83,adventure
86,85,strategy
71,72,platform
76,72,shooter
67,70,role-playing
56,68,sports
59,58,strategy
54,71,strategy
53,50,platform
59,67,racing
74,67,strategy
72,73,sports
70,72,action
83,81,action
81,88,simulation
72,83,sports
67,70,platform
81,79,misc
80,77,strategy
80,87,platform
82,85,action
64,60,action
64,61,platform
69,60,strategy
68,41,fighting
63,46,role-playing
56,49,action
54,32,simulation
84,76,adventure
80,86,puzzle
80,75,adventure
41,42,puzzle
65,67,shooter
58,64,sports
91,72,misc
82,78,platform
79,76,fighting
82,74,platform
89,77,misc
87,80,adventure
79,74,fighting
89,84,role-playing
89,88,role-playing
87,86,racing
73,72,action
71,72,racing
82,82,platform
82,81,role-playing
86,65,simulation
84,64,racing
84,60,misc
83,77,puzzle
85,76,simulation
84,78,role-playing
83,76,racing
85,81,misc
82,63,simulation
78,50,misc
55,68,platform
85,81,puzzle
81,79,strategy
75,71,fighting
72,74,racing
70,75,puzzle
69,73,puzzle
63,75,misc
81,76,simulation
80,80,platform
80,84,adventure
74,73,platform
77,85,role-playing
86,79,strategy
84,73,platform
51,43,action
48,46,puzzle
72,74,role-playing
76,73,simulation
68,57,strategy
69,67,adventure
43,34,misc
71,66,strategy
64,61,shooter
58,62,shooter
91,80,fighting
89,84,strategy
89,75,shooter
87,75,shooter
59,62,strategy
56,64,platform
74,75,action
70,56,racing
67,45,puzzle
63,65,strategy
61,60,sports
68,79,platform
74,71,strategy
80,80,adventure
74,73,role-playing
69,69,sports
69,53,adventure
76,54,simulation
74,48,sports
72,51,action
43,74,misc
78,69,puzzle
70,56,adventure
50,36,adventure
56,47,sports
52,42,sports
51,43,fighting
74,37,puzzle
72,47,platform
72,53,misc
71,67,sports
78,61,strategy
70,59,platform
70,65,puzzle
70,76,platform
69,68,action
78,68,sports
53,70,misc
78,74,racing
70,65,platform
69,72,action
59,72,platform
63,76,strategy
60,60,racing
75,65,racing
68,50,role-playing
68,65,misc
74,74,strategy
62,56,action
79,76,puzzle
78,59,adventure
78,79,role-playing
71,75,action
71,70,role-playing
78,70,racing
77,77,fighting
67,75,puzzle
69,70,strategy
65,80,adventure
39,41,puzzle
70,54,sports
58,46,racing
63,77,action
64,66,simulation
60,42,platform
62,61,role-playing
57,58,adventure
72,77,action
70,71,role-playing
70,75,fighting
73,66,misc
75,84,puzzle
74,82,misc
71,62,shooter
76,70,platform
65,77,fighting
68,78,puzzle
47,50,sports
76,61,racing
75,55,platform
87,42,fighting
85,49,simulation
83,36,strategy
61,15,role-playing
57,11,fighting
57,15,puzzle
86,54,adventure
84,58,strategy
82,62,puzzle
63,28,puzzle
61,34,adventure
66,70,strategy
72,42,simulation
73,33,simulation
72,48,fighting
63,31,sports
89,52,action
86,62,shooter
69,75,sports
61,58,adventure
71,76,sports
83,79,adventure
83,69,role-playing
79,80,strategy
78,86,racing
88,85,action
84,76,platform
83,66,shooter
83,73,role-playing
81,63,shooter
75,64,platform
45,30,shooter
83,71,role-playing
76,85,shooter
75,81,platform
72,86,platform
90,89,misc
87,78,shooter
87,75,racing
71,69,misc
60,60,action
43,66,sports
59,59,misc
85,73,simulation
62,77,misc
67,70,shooter
81,68,racing
78,70,simulation
77,73,misc
88,41,strategy
88,79,role-playing
87,66,shooter
76,48,shooter
90,79,adventure
86,78,role-playing
69,71,fighting
75,80,sports
73,69,racing
68,64,role-playing
69,74,simulation
65,75,racing
68,75,shooter
66,63,misc
72,73,puzzle
31,46,simulation
65,64,adventure
51,67,role-playing
86,67,fighting
85,75,puzzle
78,59,adventure
86,87,strategy
86,81,sports
85,79,simulation
86,51,racing
84,57,platform
82,76,shooter
72,57,shooter
63,77,fighting
72,64,misc
73,73,misc
69,73,adventure
83,76,platform
76,77,fighting
78,76,role-playing
82,81,simulation
81,85,adventure
80,82,action
74,59,racing
91,84,simulation
88,72,misc
88,79,shooter
86,68,simulation
84,67,misc
82,70,shooter
81,69,sports
80,74,shooter
76,74,fighting
80,87,role-playing
80,82,puzzle
72,70,strategy
76,79,shooter
57,56,racing
57,67,fighting
63,59,misc
71,76,racing
73,47,puzzle
71,59,simulation
80,62,sports
78,58,puzzle
71,74,fighting
73,55,racing
51,53,shooter
67,69,strategy
67,75,action
76,77,role-playing
76,71,shooter
87,87,platform
88,77,shooter
88,79,shooter
93,88,action
92,77,strategy
92,76,shooter
85,76,adventure
85,69,simulation
86,75,sports
83,73,action
78,83,platform
71,63,simulation
66,55,platform
76,79,fighting
83,83,misc
83,89,action
86,86,fighting
56,56,puzzle
79,83,strategy
78,71,simulation
75,74,role-playing
77,76,shooter
75,63,sports
87,84,fighting
85,83,adventure
85,84,misc
79,85,misc
59,54,simulation
71,67,action
69,52,shooter
83,77,racing
90,65,platform
67,67,simulation
50,62,role-playing
49,63,fighting
61,35,action
81,66,strategy
80,72,platform
87,68,fighting
65,71,role-playing
69,64,fighting
89,74,misc
85,59,racing
85,70,fighting
74,56,puzzle
77,76,shooter
88,85,simulation
87,81,strategy
86,79,sports
85,75,misc
66,75,puzzle
61,70,role-playing
72,80,puzzle
69,77,misc
67,73,sports
73,79,shooter
72,75,racing
75,80,role-playing
68,71,puzzle
83,81,action
81,81,adventure
76,76,platform
77,76,misc
73,70,role-playing
81,84,role-playing
85,85,sports
86,87,racing
77,84,shooter
80,78,fighting
81,81,fighting
80,83,sports
78,82,adventure
63,59,racing
56,60,fighting
55,64,puzzle
59,61,racing
72,77,shooter
71,77,racing
67,65,role-playing
72,76,shooter
71,78,sports
67,46,shooter
73,75,fighting
39,55,puzzle
59,50,puzzle
71,62,misc
79,74,adventure
66,67,sports
80,74,sports
74,76,adventure
82,77,misc
77,74,shooter
72,72,role-playing
69,81,shooter
78,68,strategy
73,64,sports
49,65,misc
79,77,strategy
78,57,misc
67,55,racing
73,84,fighting
67,75,role-playing
80,68,puzzle
77,78,simulation
70,73,role-playing
61,69,adventure
75,77,strategy
88,82,strategy
83,71,puzzle
85,85,action
79,77,simulation
73,69,fighting
64,69,adventure
75,79,fighting
74,79,strategy
74,78,role-playing
86,81,misc
79,83,racing
78,79,fighting
38,55,strategy
70,74,strategy
63,69,puzzle
58,68,sports
83,77,role-playing
69,71,platform
65,40,misc
57,29,shooter
56,41,sports
67,75,puzzle
70,66,strategy
71,48,role-playing
54,69,platform
70,62,racing
70,61,simulation
79,58,role-playing
76,56,puzzle
77,55,fighting
75,36,puzzle
74,72,platform
74,69,strategy
73,69,simulation
71,71,adventure
69,81,sports
72,82,platform
68,76,misc
64,74,racing
72,71,action
61,54,fighting
56,55,simulation
54,58,fighting
73,70,action
66,72,role-playing
68,67,misc
78,80,action
79,73,shooter
72,69,simulation
77,71,racing
79,75,shooter
71,66,simulation
75,78,adventure
77,68,adventure
78,68,misc
65,60,simulation
77,77,misc
78,73,simulation
67,69,action
62,64,role-playing
58,64,racing
80,67,action
80,72,role-playing
77,71,platform
76,75,platform
79,75,sports
76,73,strategy
59,60,racing
68,43,shooter
82,79,sports
77,73,role-playing
80,77,racing
52,57,simulation
66,74,racing
43,44,shooter
70,76,fighting
84,77,role-playing
82,75,action
87,79,strategy
84,73,shooter
59,66,simulation
74,76,simulation
52,36,misc
76,75,shooter
71,73,strategy
73,66,racing
75,76,shooter
31,29,puzzle
59,54,simulation
82,69,sports
75,47,adventure
62,63,misc
77,79,puzzle
82,81,simulation
84,83,platform
80,66,strategy
80,81,sports
80,79,role-playing
79,87,platform
87,87,puzzle
81,77,racing
84,85,racing
60,62,adventure
71,68,adventure
69,46,strategy
75,67,role-playing
76,81,sports
79,74,strategy
78,63,sports
78,78,fighting
78,78,shooter
78,65,action
76,52,shooter
80,72,platform
61,68,platform
74,76,sports
77,43,fighting
76,43,role-playing
74,51,adventure
63,63,misc
71,81,adventure
69,70,shooter
77,81,racing
74,80,action
52,11,shooter
51,21,adventure
47,15,strategy
79,65,role-playing
66,65,role-playing
80,71,racing
77,64,simulation
61,48,action
65,64,fighting
64,61,sports
61,39,adventure
86,77,fighting
85,78,shooter
82,79,shooter
89,74,platform
86,76,action
84,72,shooter
84,78,misc
84,80,sports
83,76,platform
62,55,simulation
61,67,strategy
70,63,simulation
63,75,misc
59,63,fighting
71,59,fighting
80,76,adventure
61,75,puzzle
66,79,fighting
71,68,misc
66,65,misc
80,77,adventure
66,69,adventure
64,82,simulation
88,64,action
87,66,adventure
84,55,sports
78,50,misc
74,57,strategy
69,64,racing
67,49,platform
79,66,simulation
78,64,sports
75,64,role-playing
74,53,misc
64,59,platform
53,25,adventure
52,25,puzzle
49,24,racing
11,12,simulation
77,74,shooter
34,37,puzzle
73,84,shooter
88,83,racing
81,81,racing
85,77,role-playing
82,76,misc
80,68,misc
56,56,strategy
76,74,shooter
74,72,misc
82,67,adventure
81,68,simulation
78,60,adventure
72,36,role-playing
61,33,role-playing
57,51,misc
75,31,racing
73,34,role-playing
71,35,adventure
77,64,simulation
76,65,misc
74,53,shooter
80,77,sports
64,74,strategy
54,55,shooter
69,65,adventure
69,76,fighting
73,65,fighting
64,45,simulation
65,75,puzzle
73,70,puzzle
71,81,misc
81,86,puzzle
81,79,simulation
63,73,racing
67,77,simulation
77,72,misc
69,71,puzzle
67,70,role-playing
64,53,role-playing
73,51,racing
72,71,simulation
70,68,platform
70,73,sports
50,66,sports
46,41,adventure
42,64,fighting
65,72,action
71,50,racing
75,69,simulation
91,67,shooter
90,63,sports
88,58,misc
87,63,action
82,54,strategy
82,43,action
82,57,puzzle
84,44,fighting
82,44,sports
81,45,strategy
85,48,puzzle
84,51,shooter
84,41,role-playing
84,34,racing
83,30,strategy
81,26,role-playing
68,60,misc
83,17,shooter
83,20,sports
71,34,platform
68,47,action
79,72,fighting
86,66,action
69,63,racing
57,42,role-playing
23,28,racing
77,77,role-playing
75,75,role-playing
61,64,racing
52,18,sports
69,85,shooter
84,89,puzzle
85,90,fighting
76,79,platform
72,75,simulation
72,83,simulation
69,68,shooter
86,90,sports
84,87,simulation
83,90,fighting
86,84,misc
83,88,sports
83,71,action
86,73,fighting
86,84,puzzle
86,83,platform
89,86,sports
87,83,action
83,77,misc
81,76,role-playing
69,73,action
59,87,platform
65,88,sports
77,87,strategy
85,80,simulation
81,83,misc
64,68,racing
81,85,sports
86,84,role-playing
87,82,sports
88,76,simulation
88,82,fighting
74,79,racing
69,81,adventure
92,91,puzzle
79,71,misc
60,67,fighting
79,83,action
85,44,puzzle
81,69,role-playing
76,68,adventure
63,52,sports
72,78,sports
73,75,fighting
67,71,fighting
78,71,misc
68,69,fighting
69,61,platform
77,81,puzzle
82,82,role-playing
66,63,fighting
62,66,action
80,76,puzzle
76,75,fighting
53,53,puzzle
83,80,strategy
66,53,racing
65,49,fighting
61,45,role-playing
72,73,adventure
76,75,racing
71,66,fighting
91,72,racing
78,66,shooter
37,44,misc
80,77,misc
78,35,shooter
86,68,adventure
85,56,action
80,61,puzzle
81,69,platform
80,52,action
82,57,fighting
86,65,misc
67,74,adventure
77,71,role-playing
79,59,misc
78,61,platform
76,52,racing
78,36,action
79,73,shooter
72,77,adventure
67,75,action
65,76,role-playing
83,52,adventure
78,65,simulation
76,69,racing
78,53,platform
58,75,simulation
69,67,fighting
81,29,role-playing
78,39,adventure
83,56,platform
86,83,misc
61,80,platform
82,73,adventure
91,80,racing
86,69,simulation
87,77,strategy
87,75,puzzle
92,79,shooter
88,77,misc
79,60,role-playing
87,77,fighting
86,59,action
82,43,puzzle
57,50,action
69,59,racing
66,33,fighting
71,87,sports
69,74,sports
66,71,action
65,68,action
75,61,action
70,73,racing
79,76,misc
71,73,racing
69,59,sports
79,80,action
68,78,puzzle
27,24,role-playing
63,73,shooter
83,83,strategy
84,85,simulation
82,83,misc
73,83,sports
76,76,adventure
61,62,strategy
61,58,sports
53,55,racing
74,73,simulation
84,84,shooter
79,65,sports
76,72,simulation
84,72,puzzle
84,68,action
69,78,sports
84,84,role-playing
72,67,simulation
85,71,racing
75,62,shooter
66,60,role-playing
77,75,misc
76,72,action
61,77,adventure
43,42,adventure
50,52,action
77,77,racing
77,77,action
76,78,puzzle
74,75,simulation
76,68,misc
73,56,strategy
65,67,misc
74,77,simulation
62,67,fighting
62,66,fighting
56,61,puzzle
64,67,action
81,66,puzzle
85,67,platform
66,70,sports
82,71,simulation
78,60,puzzle
62,64,adventure
63,66,action
61,65,role-playing
68,80,puzzle
58,65,puzzle
69,65,simulation
64,64,racing
77,68,strategy
74,67,sports
72,69,puzzle
80,71,adventure
77,77,misc
73,71,puzzle
80,79,adventure
77,73,puzzle
75,73,fighting
80,78,sports
75,69,role-playing
70,64,misc
80,78,shooter
77,77,fighting
70,71,puzzle
76,77,action
73,77,sports
69,69,racing
24,34,simulation
69,65,racing
63,68,fighting
73,86,role-playing
62,80,racing
58,75,platform
72,77,platform
68,71,puzzle
71,68,shooter
64,68,strategy
57,56,shooter
86,67,sports
84,69,racing
82,76,misc
73,36,fighting
53,65,platform
63,62,puzzle
54,56,simulation
32,36,fighting
50,57,fighting
70,34,misc
67,53,racing
64,41,strategy
68,76,misc
85,75,fighting
82,77,adventure
79,62,simulation
75,75,racing
73,83,sports
71,74,racing
80,75,puzzle
72,61,action
62,60,sports
75,82,misc
32,4,fighting
30,10,strategy
32,47,simulation
77,77,fighting
74,74,puzzle
76,84,fighting
74,83,shooter
73,64,racing
77,69,simulation
62,76,misc
62,66,racing
58,58,shooter
53,62,shooter
73,69,simulation
69,75,shooter
71,72,strategy
70,72,action
76,66,racing
58,68,action
94,91,racing
73,75,simulation
81,80,strategy
74,71,sports
64,64,role-playing
38,31,fighting
79,73,fighting
78,84,misc
57,69,adventure
50,48,puzzle
86,54,adventure
85,45,fighting
79,77,sports
80,78,misc
84,85,sports
83,79,puzzle
65,66,racing
77,79,fighting
75,60,sports
64,65,shooter
63,54,puzzle
78,75,action
76,83,adventure
97,78,shooter
97,83,fighting
96,77,fighting
80,77,role-playing
69,67,strategy
67,70,adventure
67,66,adventure
62,70,strategy
70,50,shooter
69,68,action
75,71,fighting
75,77,simulation
83,86,platform
80,81,strategy
80,81,racing
71,75,role-playing
75,53,sports
77,74,sports
80,58,shooter
78,63,sports
83,85,racing
84,72,shooter
84,80,action
80,77,adventure
74,76,sports
71,61,racing
69,60,puzzle
59,65,role-playing
84,86,role-playing
84,86,strategy
75,73,sports
74,61,misc
74,73,puzzle
71,74,shooter
70,60,adventure
55,74,adventure
87,83,racing
87,83,adventure
84,76,shooter
83,80,shooter
85,37,platform
